tested up until 2605/146994

4	10	-4	4	0	0	1	-1	-10	-3	-10	-5	7	10	5
2	8	-2	4	0	0	0	-1	-8	-2	-8	-4	5	8	4
10	12	-10	0	-10	-2	-3	-1	-5	3	-7	5	7	10	5
8	8	-6	0	-8	-1	-2	-1	-4	2	-6	4	5	8	4
54	4	-30	-8	-36	-1	1	-1	0	3	-6	9	12	18	9
102	-6	-64	-24	-52	-1	1	-1	2	26	5	14	15	24	12
0	4	6	10	0	-1	1	-1	0	-6	-6	-9	3	0	9
18	-2	-12	4	4	-1	1	-1	-2	12	3	-14	3	0	12
34	-10	-4	-6	-20	0	1	-1	10	2	0	5	2	0	5
26	-8	-2	-4	-16	0	0	-1	8	2	0	4	1	0	4
8	0	2	8	-8	-1	-2	-1	4	-2	-2	-4	1	0	4
10	2	0	10	-10	-2	-3	-1	5	-2	-2	-5	2	0	5
72	4	-48	-8	-48	-1	-2	-4	0	15	-3	12	15	24	12
6	9	-6	0	-6	-1.50000000000000	-1.50000000000000	-1	-3	3	-6	3	6	6	3
0	20	0	8	0	-2	-1	-2	-12	-6	-18	-6	12	12	6
36	8	-24	-4	-24	-2	-1	-2	0	6	-6	6	12	12	6
8	8	-6	8	-8	-1	-2	-1.33333333300000	-4	-5	-6	-4	5	8	4
6	9	-6	6	-6	-1.50000000000000	-1.50000000000000	-1	-3	-3	-6	-3	6	6	3
8	-4	6	-8	8	1	8	10	-2	-6	-4	-6	1	-2	-2
20	-8	2	-20	0	1	8	10	2	0	-2	6	1	-2	-2
44	-20	-6	-32	-4	3	12	10	4	6	2	6	1	-2	-2
16	22	-12	4	-16	-2	1	-1	-14	-5	-18	-3	13	22	11
0	28	0	16	0	-1	-2	-4	-24	-9	-27	-12	15	24	12
8	8	-6	0	-8	-1	-2	-1.33333333300000	-4	3	-6	4	5	8	4
22	24	-22	0	-22	-4	-3	-1	-11	5	-13	3	13	22	11
22	24	-22	6	-22	-4	-3	-1	-11	-1	-13	-3	13	22	11
34	16	-24	-2	-28	-2	1	-1	-8	1	-12	3	13	22	11
6	16	-6	4	0	-1	1	-1	-12	-3	-15	-6	12	12	6
12	18	-12	0	-12	-3	-3	-1	-6	3	-12	6	12	12	6
24	10	-20	-4	-14	-1	0	-1	-3	7	-7	4	10	10	3
36	32	-32	-4	-24	-4	-1	-2	-8	10	-24	6	26	20	6
72	8	-50	-8	-48	-1	-2	-4	-2	16	-6	12	17	26	12
36	16	-28	-4	-24	-2	-1	-2	-4	8	-12	6	16	16	6
6	13	-6	6	-6	-1.50000000000000	-1.50000000000000	-1	-5	-4	-10	-3	8	8	3
8	9.33333333300000	-6	8	-8	-1	-2	-1.33333333300000	-4.66666666700000	-5.33333333300000	-7.33333333300000	-4	5.66666666700000	8.66666666700000	4
6	18	-6	8	-6	-2	-2	-1	-7	-7	-14	-4	10	10	3
6	21	-6	6	-6	-2.50000000000000	-1.50000000000000	-1	-7	-5	-17	-3	13	10	3
48	42	-48	12	-34	-7	-7	-1	-17	-3	-21	-9	24	34	13
24	24	-24	6	-18	-3	-3	-1	-9	-1	-15	-3	15	18	6
24	22	-24	8	-18	-3	-3	-1	-9	-3	-13	-5	14	18	7
42	12	-30	-4	-28	-1	1	-1	-4	3	-10	5	14	18	7
36	16	-26	-2	-24	-1	1	-1	-6	1	-14	3	15	18	6
26	-6	-6	-4	-16	0	0	-1	6	2	0	4	2	2	4
8	2	-2	8	-8	-1	-2	-1	2	-2	-2	-4	2	2	4
0	4	0	16	0	-1	-2	-4	0	3	-3	-12	3	0	12
6	3	0	6	-6	-1.50000000000000	-1.50000000000000	-1	3	0	-3	-3	3	0	3
0	8	0	8	0	-2	-1	-2	0	0	-6	-6	6	0	6
8	0	2	0	-8	-1	-2	-1.33333333300000	4	-1	-2	4	1	0	4
6	3	0	0	-6	-1.50000000000000	-1.50000000000000	-1	3	0	-3	3	3	0	3
8	6	-6	8	-8	-1	-2	-1	-2	-4	-4	-4	4	6	4
26	-2	-14	-4	-16	0	0	-1	2	4	0	4	4	6	4
72	-20	0	-8	-48	-1	-2	-4	24	3	-3	12	3	0	12
18	-2	-12	12	0	-1	1	-3	0	12	3	-18	3	0	18
8	0	2	8	-8	-1	-2	-1.33333333300000	4	-1	-2	-4	1	0	4
12	0	4	0	-12	-1.66666666700000	-2.33333333300000	-1	6	-4	-3	6	1	0	6
22	2	0	0	-22	-4	-3	-1	11	2	-2	3	2	0	11
22	2	0	6	-22	-4	-3	-1	11	2	-2	-3	2	0	11
16	0	4	4	-16	-2	1	-1	8	-2	-4	-3	2	0	11
34	-6	4	-2	-28	-2	1	-1	14	-2	-4	3	2	0	11
42	-8	-6	-8	-24	-1	1	-1	12	3	-3	6	6	0	6
12	6	0	12	-12	-3	-3	-1	6	-3	-6	-6	6	0	6
0	4	14	10	0	-1	5	-1	8	-6	-10	-9	3	-8	13
0	4	2	16	0	-1	-2	-4	2	4	-4	-12	3	-2	12
0	8	4	8	0	-2	-1	-2	4	2	-8	-6	6	-4	6
0	4	10	4	0	-1	1	-1	6	-2	-8	-3	3	-6	6
0	4	6	6	0	-1	1	-1	4	-2	-6	-5	3	-4	7
12	4	2	-2	-10	-3	-3	-1	9	2	-4	5	3	-4	7
6	6	6	0	-6	-3	-3	-1	9	2	-6	3	3	-6	6
24	8	2	-6	-18	-7	-7	-1	17	6	-4	9	3	-8	13
6	7	8	0	-6	-2.50000000000000	-1.50000000000000	-1	7	-2	-10	3	6	-4	3
12	0	5	0	-12	-1.50000000000000	-3	-2	7	-2	-4	6	1.50000000000000	-1	6
6	3	4	0	-6	-1.50000000000000	-1.50000000000000	-1	5	-1	-5	3	3	-2	3
0	4	0	8	4	-1	-1	-2	2	5	-3	-8	3	-4	6
36	-12	0	-6	-22	0	1	-1	12	2	0	5	1	-2	6
12	0	4	10	-12	-2	-3	-1	7	-2	-2	-5	1	-2	6
0	0	0	4	2	0	0	-1	0	2	0	-4	1	-2	3
6	0	4	0	-6	-1	-2	-1	4	-2	-2	4	1	-2	3
36	4	-12	24	-36	-1	0	-3	-3	-6	0	-15	0	12	21
30	-2.66666666700000	-8	-4	-22	-1.33333333300000	-2	-1	4	2	2	5	0	4	7
0	0	2	4	2	0	0	-1	0	3	0	-4	1	-4	3
0	0	4	4	0	0	0	-1	0	2	0	-3	0	-4	3
6	0	8	0	-6	-1	-2	-1	3	-2	-2	3	0	-4	3
6	2	-6	8	14	-2	-1	-2	-4	12	3	-16	3	-6	9
0	2	8	8	0	-1	1	-1	2	-4	-4	-7	2	-4	9
18	0	0	-4	-14	-3	-3	-1	9	4	0	7	2	-4	9
18	0	0	-2	-16	-3	-3	-1	9	2	0	5	1	-2	9
